campaign_id,date,channel,campaign_type,campaign_name,spend,clicks,impressions,conversions,revenue,cpc_reported
1094,2026-07-01,google ads,Notoriete,Google_Notoriete_202607_1094,1720.65€,2041,37489,72,3691.64,0.843
1045,2026-01-01,Meta Ads,Conversion,Meta_Conversion_202601_1045,1420.23,3133,174765,125,4957.45,0.453
1057,2026-02-01,TikTok Ads,Conversion,TikTok_Conversion_202602_1057,2455.23,6029,170142,110,5306.38,0.407
1083,2026-06-01,Google Ads,Notoriete,Google_Notoriete_202606_1083,2870.94,3361,70876,116,5062.31,0.854
1070,2026-04-01,Meta Ads,Notoriete,Meta_Notoriete_202604_1070,4089.59,7532,325170,136,7959.95,0.543
1106,2026-08-01,Meta Ads,Conversion,Meta_Conversion_202608_1106,1563.13€,2452,101728,88,5125.45,
1102,2026-08-01,Google Ads,Notoriete,Google_Notoriete_202608_1102,4215.19,4463,87971,156,10770.44,0.944
1059,2026-03-01,Google Ads,Notoriete,Google_Notoriete_202603_1059,1921.95,2679,54371,102,4372.25,0.717
1036,2025-12-01,Meta Ads,Conversion,Meta_Conversion_202512_1036,1259.19,2384,113910,72,5580.71,0.528
1039,2025-12-01,TikTok Ads,Conversion,TikTok_Conversion_202512_1039,"EUR 1,798.00",4792,262858,121,2850.26,
1066,2026-03-01,TikTok Ads,Conversion,TikTok_Conversion_202603_1066,2729.47€,6418,225094,171,4443.18,
1095,2026-07-01,Google Ads,Conversion,Google_Conversion_202607_1095,"EUR 1,973.28",2326,45327,183,6267.65,0.848
1003,2025-09-01,Google Ads,Conversion,Google_Conversion_202509_1003,"EUR 1,967.92",2332,53811,161,6289.3,0.844
1103,2026-08-01,Google Ads,Conversion,Google_Conversion_202608_1103,2545.96,2490,55200,162,8628.14,1.022
1077,2026-05-01,Meta Ads,Notoriete,Meta_Notoriete_202605_1077,3505.52,6198,436248,118,5345.39,0.566
1054,2026-02-01,Meta Ads,Notoriete,Meta_Notoriete_202602_1054,2489.98,5026,244538,75,6515.13,0.495
1101,2026-07-01,TikTok Ads,Conversion,TikTok_Conversion_202607_1101,1757.4,3960,115244,102,3359.05,0.444
1098,2026-07-01,Meta Ads,Notoriete,Meta_Notoriete_202607_1098,1446.35,0,126186,55,3981.46,0.595
1093,2026-07-01,Google Ads,Notoriete,Google_Notoriete_202607_1093,1577.71,2847,78370,93,3691.11,
1043,2026-01-01,Meta Ads,Notoriete,Meta_Notoriete_202601_1043,"EUR 4,510.25",7294,387695,136,12941.13,0.618
1075,2026-05-01,Google Ads,Notoriete,Google_Notoriete_202605_1075,5640.39,6723,159176,226,8542.0,0.839
1018,2025-10-01,TikTok Ads,Conversion,TikTok_Conversion_202510_1018,672.88,0,86454,49,1083.15,0.301
1079,2026-05-01,tiktok ads,Notoriete,TikTok_Notoriete_202605_1079,"EUR 1,001.71",2764,74657,34,865.6,
1055,2026-02-01,Meta Ads,Conversion,Meta_Conversion_202602_1055,3220.84,5688,244307,246,12009.82,0.566
1092,2026-06-01,TikTok Ads,Conversion,TikTok_Conversion_202606_1092,843.63,2154,59190,51,1704.73,0.392
1034,2025-12-01,Meta Ads,Notoriete,Meta_Notoriete_202512_1034,"EUR 1,724.23",2457,77703,31,4332.75,0.702
1068,2026-04-01,Google Ads,Conversion,Google_Conversion_202604_1068,"EUR 2,301.60",3733,88924,284,8578.89,0.616
1049,2026-01-01,TikTok Ads,Conversion,TikTok_Conversion_202601_1049,1208.48,3318,143231,73,2201.47,0.364
1047,2026-01-01,TikTok Ads,Notoriete,TikTok_Notoriete_202601_1047,1215.41,3269,88230,37,1481.97,0.372
1091,2026-06-01,TikTok Ads,Conversion,TikTok_Conversion_202606_1091,1154.33,3382,103825,84,1745.58,0.341
1032,2025-12-01,Google Ads,Conversion,Google_Conversion_202512_1032,1730.23,1723,44825,134,5524.75,1.004
1056,2026-02-01,tiktok ads,Notoriete,TikTok_Notoriete_202602_1056,2493.9,8845,448990,107,3179.23,0.282
1060,2026-03-01,Google Ads,Conversion,Google_Conversion_202603_1060,2164.84,3033,77547,230,7284.76,0.714
1011,2025-10-01,Google Ads,Notoriete,Google_Notoriete_202510_1011,4188.79,4505,106713,161,7635.87,
1033,2025-12-01,META ADS,Notoriete,Meta_Notoriete_202512_1033,1591.54,2476,126178,53,5564.15,0.643
1109,2026-08-01,TikTok Ads,Conversion,TikTok_Conversion_202608_1109,678.75,1595,74212,37,1152.31,
1020,2025-11-01,Google Ads,Notoriete,Google_Notoriete_202511_1020,3078.52,4124,99947,134,7151.69,0.746
1096,2026-07-01,Google Ads,Conversion,Google_Conversion_202607_1096,1738.05€,1854,44310,146,6334.86,0.937
1028,2025-11-01,TikTok Ads,Conversion,TikTok_Conversion_202511_1028,1996.99,8239,297145,201,2756.14,0.242
1037,2025-12-01,TikTok Ads,Notoriete,TikTok_Notoriete_202512_1037,"EUR 1,030.00",2942,122791,18,2057.36,0.35
1090,2026-06-01,TikTok Ads,Notoriete,TikTok_Notoriete_202606_1090,"EUR 1,128.02",3609,174975,36,2082.78,0.313
1040,2026-01-01,Google Ads,Notoriete,Google_Notoriete_202601_1040,2386.9,2300,105022,73,4901.73,1.038
1067,2026-04-01,Google Ads,Notoriete,Google_Notoriete_202604_1067,5946.56,6360,116127,179,12540.63,0.935
1096,2026-07-01,Google Ads,Conversion,Google_Conversion_202607_1096,1738.05,1854,44310,146,6334.86,0.937
1081,2026-05-01,TikTok Ads,Conversion,TikTok_Conversion_202605_1081,1198.04,3071,100657,69,1587.99,0.39
1041,2026-01-01,Google Ads,Notoriete,Google_Notoriete_202601_1041,2330.99€,2613,43157,83,4277.41,0.892
1082,2026-05-01,TikTok Ads,Conversion,TikTok_Conversion_202605_1082,1187.13,3178,135331,81,2103.68,0.373
1063,2026-03-01,Meta Ads,Conversion,Meta_Conversion_202603_1063,3956.39,7221,339721,277,10820.18,0.548
1084,2026-06-01,Google Ads,Notoriete,Google_Notoriete_202606_1084,2325.27,3241,139188,102,4204.45,0.717
1024,2025-11-01,Meta Ads,Notoriete,Meta_Notoriete_202511_1024,1322.21,2580,170888,56,4023.89,0.512
1035,2025-12-01,Meta Ads,Conversion,Meta_Conversion_202512_1035,1840.89,3474,150328,122,6997.96,0.53
1074,2026-04-01,TikTok Ads,Conversion,TikTok_Conversion_202604_1074,2452.65,6800,304220,160,4469.37,0.361
