channel,mois,depense_totale,revenu_total,roas,cpa,taux_conversion,roas_moyenne_mobile_3mois
Google Ads,2025-09-01,8337.77,20996.95,2.52,16.48,0.0549,2.52
Google Ads,2025-10-01,6245.8099999999995,14642.66,2.34,19.4,0.0476,2.43
Google Ads,2025-11-01,7541.8,21160.26,2.81,14.96,0.0538,2.56
Google Ads,2025-12-01,8846.869999999999,20763.53,2.35,18.2,0.0502,2.5
Google Ads,2026-01-01,9891.09,28123.87,2.84,15.22,0.0574,2.67
Google Ads,2026-02-01,9782.24,26080.57,2.67,17.04,0.0555,2.62
Google Ads,2026-03-01,9313.39,28397.2,3.05,12.99,0.0562,2.85
Google Ads,2026-04-01,11060.62,30717.829999999998,2.78,14.13,0.0545,2.83
Google Ads,2026-05-01,9974.61,23749.870000000003,2.38,18.04,0.0478,2.74
Google Ads,2026-06-01,8842.18,21785.5,2.46,17.0,0.0469,2.54
Google Ads,2026-07-01,7009.6900000000005,19985.26,2.85,14.19,0.0545,2.56
Google Ads,2026-08-01,9116.98,27091.47,2.97,18.27,0.0512,2.76
Meta Ads,2025-09-01,5677.96,15876.900000000001,2.8,19.72,0.0302,2.8
Meta Ads,2025-10-01,6307.04,19017.18,3.02,19.41,0.0272,2.91
Meta Ads,2025-11-01,6523.63,19157.96,2.94,19.19,0.0293,2.92
Meta Ads,2025-12-01,6415.85,22475.57,3.5,23.08,0.0258,3.15
Meta Ads,2026-01-01,7780.5,25810.98,3.32,20.58,0.0272,3.25
Meta Ads,2026-02-01,7429.12,22954.14,3.09,19.4,0.0281,3.3
Meta Ads,2026-03-01,7791.58,22007.16,2.82,21.58,0.0286,3.08
Meta Ads,2026-04-01,8546.96,27925.71,3.27,19.97,0.0272,3.06
Meta Ads,2026-05-01,7604.93,22841.35,3.0,17.48,0.0312,3.03
Meta Ads,2026-06-01,8261.8,21574.29,2.61,23.27,0.0255,2.96
Meta Ads,2026-07-01,4436.55,10924.890000000001,2.46,12.06,0.0358,2.69
Meta Ads,2026-08-01,5739.12,14805.23,2.58,21.1,0.0269,2.55
TikTok Ads,2025-09-01,3422.02,3568.2200000000003,1.04,21.12,0.0156,1.04
TikTok Ads,2025-10-01,2270.45,3691.67,1.63,25.51,0.0142,1.33
TikTok Ads,2025-11-01,4142.19,5984.04,1.44,15.63,0.0181,1.37
TikTok Ads,2025-12-01,4028.7200000000003,5655.85,1.4,23.42,0.0157,1.49
TikTok Ads,2026-01-01,4332.39,5551.3,1.28,21.13,0.0167,1.37
TikTok Ads,2026-02-01,4949.13,8485.61,1.71,22.81,0.0146,1.46
TikTok Ads,2026-03-01,5002.42,6593.76,1.32,21.47,0.0195,1.44
TikTok Ads,2026-04-01,4889.55,6783.87,1.39,19.1,0.0174,1.47
TikTok Ads,2026-05-01,4156.610000000001,5167.55,1.24,19.42,0.0188,1.32
TikTok Ads,2026-06-01,4253.04,5758.5,1.35,18.57,0.017,1.33
TikTok Ads,2026-07-01,3851.58,5260.06,1.37,22.52,0.018,1.32
TikTok Ads,2026-08-01,3272.3599999999997,4188.57,1.28,21.96,0.0163,1.33
